Country,Year,Count,Count_median,Count_min,Count_max,WHO Region,,Total
Afghanistan,2018,500[200–610],500,200,610,Eastern Mediterranean,,1100
Albania,2018,na,,,,Europe,,0
Algeria,2018,200[200–200],200,200,200,Africa,,500
Angola,2018,14000[9500–18000],14000,9500,18000,Africa,,28800
Argentina,2018,1700[1300–2100],1700,1300,2100,Americas,,4700
Armenia,2018,200[100–200],200,100,200,Europe,,500
Australia,2018,200[200–500],200,200,500,Western Pacific,,1200
Austria,2018,na,,,,Europe,,0
Azerbaijan,2018,na,,,,Europe,,0
Bahamas,2018,200[200–500],200,200,500,Americas,,900
Bahrain,2018,na,,,,Eastern Mediterranean,,0
Bangladesh,2018,580[500–680],580,500,680,South-East Asia,,1180
Barbados,2018,100[100–100],100,100,100,Americas,,300
Belarus,2018,500[200–500],500,200,500,Europe,,800
Belgium,2018,na,,,,Europe,,0
Belize,2018,200[200–500],200,200,500,Americas,,500
Benin,2018,2200[1100–4400],2200,1100,4400,Africa,,6600
Bhutan,2018,100[100–200],100,100,200,South-East Asia,,300
Bolivia (Plurinational State of),2018,670[550–760],670,550,760,Americas,,2940
Bosnia and Herzegovina,2018,100[100–100],100,100,100,Europe,,300
Botswana,2018,4800[4100–5700],4800,4100,5700,Africa,,27100
Brazil,2018,15000[11000–19000],15000,11000,19000,Americas,,45000
Brunei Darussalam,2018,na,,,,Western Pacific,,0
Bulgaria,2018,100[100–100],100,100,100,Europe,,300
Burkina Faso,2018,3300[2400–4400],3300,2400,4400,Africa,,20100
Burundi,2018,1900[1400–2500],1900,1400,2500,Africa,,18100
Cabo Verde,2018,100[100–100],100,100,100,Africa,,400
Cambodia,2018,1300[920–1900],1300,920,1900,Western Pacific,,8300
Cameroon,2018,18000[15000–21000],18000,15000,21000,Africa,,59000
Canada,2018,na,,,,Americas,,0
Central African Republic,2018,4800[3700–6400],4800,3700,6400,Africa,,23600
Chad,2018,3100[2000–4500],3100,2000,4500,Africa,,12200
Chile,2018,590[500–770],590,500,770,Americas,,590
China,2018,na,,,,Western Pacific,,0
Colombia,2018,na,,,,Americas,,0
Comoros,2018,100[100–100],100,100,100,Africa,,300
Congo,2018,4000[2800–5400],4000,2800,5400,Americas,,14000
Costa Rica,2018,500[200–500],500,200,500,Americas,,1500
Côte d'Ivoire,2018,16000[11000–23000],16000,11000,23000,Africa,,84000
Croatia,2018,100[100–100],100,100,100,Europe,,300
Cuba,2018,500[500–580],500,500,580,Americas,,1200
Cyprus,2018,na,,,,Europe,,0
Czechia,2018,100[100–100],100,100,100,Europe,,300
Democratic People's Republic of Korea,2018,na,,,,Western Pacific,,0
Democratic Republic of the Congo,2018,13000[10000–17000],13000,10000,17000,Africa,,90000
Denmark,2018,100[100–100],100,100,100,Europe,,300
